,iter,idx,y,best_so_far,method,x1,x2,x3,x4,seed
41,19,33,41.20000076293945,56.400001525878906,baseline_ei,13.550000190734863,0.1899999976158142,32.0,5.599999904632568,231
42,-1,50,55.79999923706055,55.79999923706055,hybrid,15.649999618530273,0.20000000298023224,45.0,13.5,231
43,0,0,5.400000095367432,55.79999923706055,hybrid,1.2699999809265137,0.11999999731779099,37.0,12.899999618530273,231
44,1,6,54.70000076293945,55.79999923706055,hybrid,42.16999816894531,0.17000000178813934,34.0,8.100000381469727,231
45,2,79,53.5,55.79999923706055,hybrid,12.039999961853027,0.20000000298023224,43.0,5.0,231
46,3,110,55.0,55.79999923706055,hybrid,11.520000457763672,0.20000000298023224,44.0,11.0,231
47,4,47,54.400001525878906,55.79999923706055,hybrid,41.77000045776367,0.1899999976158142,30.0,13.199999809265137,231
48,5,5,56.099998474121094,56.099998474121094,hybrid,41.189998626708984,0.12999999523162842,30.0,13.399999618530273,231
49,6,41,55.5,56.099998474121094,hybrid,11.039999961853027,0.1899999976158142,44.0,11.800000190734863,231
50,7,67,56.400001525878906,56.400001525878906,hybrid,16.75,0.1899999976158142,51.0,8.0,231
51,8,59,56.900001525878906,56.900001525878906,hybrid,13.510000228881836,0.1899999976158142,51.0,7.0,231
52,9,51,52.70000076293945,56.900001525878906,hybrid,9.430000305175781,0.20000000298023224,46.0,10.199999809265137,231
53,10,37,53.900001525878906,56.900001525878906,hybrid,9.479999542236328,0.20000000298023224,47.0,11.800000190734863,231
54,11,112,54.5,56.900001525878906,hybrid,10.380000114440918,0.17000000178813934,50.0,9.899999618530273,231
55,12,52,55.900001525878906,56.900001525878906,hybrid,18.579999923706055,0.1899999976158142,38.0,7.5,231
56,13,55,49.29999923706055,56.900001525878906,hybrid,13.430000305175781,0.18000000715255737,38.0,5.0,231
